lambda,dipolpol
0.821449983,4.476105954
0.822399983,4.476171676
0.823349983,4.476239743
0.824299983,4.476310137
0.825249983,4.476382842
0.826199983,4.476457842
0.827149983,4.476535119
0.828099983,4.476614655
0.829049983,4.476696433
0.829999983,4.476780434
0.830949983,4.47686664
0.831899983,4.47695503
0.832849983,4.477045587
0.833799983,4.477138289
0.834749983,4.477233117
0.835699983,4.47733005
0.836649983,4.477429067
0.837599983,4.477530148
0.838549983,4.477633269
0.839499983,4.47773841
0.840449983,4.477845548
0.841399983,4.477954661
0.842349983,4.478065726
0.843299983,4.47817872
0.844249983,4.478293619
0.845199983,4.478410399
0.846149983,4.478529036
0.847099983,4.478649507
0.848049983,4.478771786
0.848999983,4.478895849
0.849949983,4.47902167
0.850899983,4.479149223
0.851849983,4.479278484
0.852799983,4.479409426
0.853749983,4.479542022
0.854699983,4.479676247
0.855649983,4.479812074
0.856599983,4.479949475
0.857549983,4.480088423
0.858499983,4.480228892
0.859449983,4.480370852
0.860399983,4.480514277
0.861349983,4.480659137
0.862299983,4.480805405
0.863249983,4.480953053
0.864199983,4.48110205
0.865149983,4.481252369
0.866099983,4.481403979
0.867049983,4.481556852
0.867999983,4.481710958
0.868949983,4.481866268
0.869899983,4.48202275
0.870849983,4.482180375
0.871799983,4.482339113
0.872749983,4.482498933
0.873699983,4.482659805
0.874649983,4.482821697
0.875599983,4.482984578
0.876549983,4.483148418
0.877499983,4.483313184
0.878449983,4.483478846
0.879399983,4.483645372
0.880349983,4.48381273
0.881299983,4.483980888
0.882249983,4.484149814
0.883199983,4.484319476
0.884149983,4.484489841
0.885099983,4.484660877
0.886049983,4.484832552
0.886999983,4.485004832
0.887949983,4.485177685
0.888899983,4.485351078
0.889849983,4.485524978
0.890799983,4.485699352
0.891749983,4.485874166
0.892699983,4.486049388
0.893649983,4.486224983
0.894599983,4.486400918
0.895549982,4.48657716
0.896499982,4.486753675
0.897449982,4.486930428
0.898399982,4.487107387
0.899349982,4.487284517
0.900299982,4.487461784
0.901249982,4.487639154
0.902199982,4.487816593
0.903149982,4.487994067
0.904099982,4.488171541
0.905049982,4.488348981
0.905999982,4.488526353
0.906949982,4.488703622
0.907899982,4.488880753
0.908849982,4.489057712
0.909799982,4.489234465
0.910749982,4.489410977
0.911699982,4.489587213
0.912649982,4.489763138
0.913599982,4.489938718
0.914549982,4.490113918
0.915499982,4.490288703
0.916449982,4.490463038
0.917399982,4.490636888
0.918349982,4.490810219
0.919299982,4.490982996
0.920249982,4.491155184
0.921199982,4.491326747
0.922149982,4.491497651
0.923099982,4.491667861
0.924049982,4.491837343
0.924999982,4.49200606
0.925949982,4.492173978
0.926899982,4.492341063
0.927849982,4.492507279
0.928799982,4.492672592
0.929749982,4.492836966
0.930699982,4.493000366
0.931649982,4.493162759
0.932599982,4.493324108
0.933549982,4.493484379
0.934499982,4.493643538
0.935449982,4.493801548
0.936399982,4.493958377
0.937349982,4.494113988
0.938299982,4.494268348
0.939249982,4.494421421
0.940199982,4.494573173
0.941149982,4.494723569
0.942099982,4.494872575
0.943049982,4.495020156
0.943999982,4.495166278
0.944949982,4.495310906
0.945899982,4.495454006
0.946849982,4.495595543
0.947799982,4.495735484
0.948749982,4.495873794
0.949699982,4.496010438
0.950649982,4.496145383
0.951599982,4.496278595
0.952549982,4.496410039
0.953499982,4.496539682
0.954449982,4.49666749
0.955399982,4.496793429
0.956349982,4.496917465
0.957299982,4.497039565
0.958249982,4.497159694
0.959199982,4.49727782
0.960149982,4.497393909
0.961099982,4.497507927
0.962049982,4.497619841
0.962999982,4.497729619
0.963949982,4.497837226
0.964899982,4.49794263
0.965849982,4.498045798
0.966799982,4.498146697
0.967749982,4.498245293
0.968699982,4.498341555
0.969649982,4.49843545
0.970599982,4.498526945
0.971549982,4.498616007
0.972499982,4.498702605
0.973449982,4.498786706
0.974399981,4.498868277
0.975349981,4.498947288
0.976299981,4.499023705
0.977249981,4.499097497
0.978199981,4.499168633
0.979149981,4.49923708
0.980099981,4.499302806
0.981049981,4.499365782
0.981999981,4.499425974
0.982949981,4.499483352
0.983899981,4.499537885
0.984849981,4.499589542
0.985799981,4.499638291
0.986749981,4.499684103
